20220719T,0.8394871,152.0712,149.0603,1.0393
20220718T,0.003961563,149.3766,145.5093,-0.3288682
20220715T,3.207299,152.1602,148.4838,0.8834943
20220714T,0.8486338,149.9377,145.4884,0.8871192
20220713T,-1.443828,145.7068,142.8496,0.115663
20220712T,0.2114286,148.4395,145.2115,0.4147851
20220711T,-0.646472,146.0353,143.3496,0.09391485
20220708T,1.715478,148.0855,145.4061,1.153959
20220707T,2.805023,147.5346,144.8436,1.462803
20220706T,2.989044,144.9693,141.3577,0.8333701
20220705T,1.916713,142.3525,139.1964,0.712435
20220701T,0.7402668,139.7721,136.8436,0.03630647
20220630T,-1.862433,136.9322,133.7547,-0.5831592
20220629T,-1.530275,140.9678,137.4398,0.3257129
20220628T,-2.248019,140.4235,135.3133,-0.5944431
20220627T,1.972134,143.02,140.756,0.8915325
20220624T,3.475591,143.1325,140.7535,1.673007
20220623T,1.685414,139.3106,136.9009,1.044306
20220622T,1.599016,137.2367,133.9028,0.369591
20220621T,3.671146,138.3344,134.9317,1.011164
20220617T,-0.5651951,133.208,130.25,-0.646808
20220616T,-2.152554,130.4571,127.3979,-1.850308
20220615T,2.137996,137.3658,134.0367,-0.1714115
20220614T,-1.414347,133.8272,131.4175,-1.490287
20220613T,-5.547592,132.7767,129.8713,-2.656776
20220610T,-5.494344,137.9527,134.9984,-2.181704
20220609T,-2.528336,144.6747,141.18,-1.329519
20220608T,0.5830307,149.2943,146.194,0.01377345
20220607T,0.4145174,149.2872,146.1972,0.5777472
20220606T,-0.6127129,148.0083,144.8939,-0.4204042
20220603T,-2.58848,145.8292,142.3266,-0.9185034
20220602T,-0.1170826,151.7523,148.6623,1.118375
20220601T,0.1641502,151.2693,147.4569,0.7197832
20220531T,2.441837,150.2528,146.612,0.8817335
20220527T,5.574244,152.4086,147.3936,2.215456
20220526T,1.123435,144.148,140.114,0.7189969
20220525T,0.103981,141.8214,138.4389,-0.3261436
20220524T,0.8627777,141.1109,137.0562,-0.5830736
20220523T,3.78789,145.3932,140.3899,0.8025388
20220520T,-1.873244,139.2208,134.182,-0.9998592
20220519T,-4.959526,139.3866,135.189,-2.047245
20220518T,-3.687482,142.7436,137.517,-1.956529
20220517T,2.62243,150.7904,148.2104,0.4739108
20220516T,1.609206,146.8927,143.5723,-0.7847567
20220513T,1.419974,149.3566,144.6779,-0.1023165
20220512T,-6.175826,143.4389,138.5238,-2.426668
20220511T,-3.7201,150.1096,143.5666,-2.201021
20220510T,0.002248764,157.0405,153.8579,-0.3320334
20220509T,-3.226466,153.6587,149.6004,-1.478177
20220506T,-2.913439,159.0482,154.6751,-0.6224563
20220505T,-2.698994,159.5819,152.2136,-1.433529
20220504T,4.624149,168.1802,163.4816,1.455096
20220503T,1.160656,161.1972,156.8352,0.253413
20220502T,-3.762689,157.601,154.539,-0.5693075
20220429T,-1.246122,162.0201,154.7691,-0.9973288
20220428T,3.705757,166.2228,162.4146,1.262798
20220427T,-1.474467,158.7043,155.3104,-1.25077
20220426T,-2.412023,159.3445,154.2489,-1.78607
20220425T,-3.000438,162.9548,160.0364,-0.356193
20220422T,-3.871128,164.6241,159.811,-1.135994
20220421T,0.6169777,170.1031,165.7088,-0.1978348
20220420T,1.848597,168.9662,165.8885,-0.02692008
20220419T,1.4028,168.2596,165.5347,0.2882189
20220418T,-1.500382,166.1512,163.6212,-0.6525596
20220414T,-0.8390551,168.4837,162.9943,-1.034587
20220413T,1.082295,171.5541,168.6873,0.4740078
20220412T,-0.4596119,170.1098,167.0069,-0.3233497
20220411T,-3.153055,166.7339,164.1217,-1.511785
20220408T,-0.4116993,170.9614,168.4314,-0.7943878
20220407T,-0.3897276,173.2678,170.257,-0.3253767
